DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,15.38,15.55,14.53,14.73,45072,0
20010103,14.98,15.16,14.25,14.30,78792,0
20010104,14.31,14.59,13.19,13.30,250876,0
20010105,13.55,13.92,13.39,13.48,88768,0
20010108,13.44,13.86,13.34,13.44,443800,0
20010109,13.59,13.81,13.36,13.58,55568,0
20010110,13.58,14.30,13.58,14.13,75624,0
20010111,13.88,14.08,13.59,13.84,87464,0
20010112,13.77,13.89,13.44,13.55,64112,0
20010115,13.55,13.55,13.55,13.55,0,0
20010116,13.55,13.86,13.31,13.42,80480,0
20010117,13.47,13.59,13.00,13.17,114656,0
20010118,13.17,13.28,12.88,13.06,99672,0
20010119,13.06,13.19,12.63,12.89,131176,0
20010122,12.89,12.89,12.89,12.89,0,0
20010123,13.64,14.69,13.64,14.63,101908,0
20010124,14.47,14.98,14.30,14.92,49668,0
20010125,14.92,15.17,14.83,15.13,87752,0
20010126,15.00,15.25,14.84,14.95,48780,0
20010129,14.91,15.27,14.75,15.09,3978800,0
20010130,14.90,15.02,14.25,14.31,32169600,0
20010131,14.19,14.19,13.73,14.10,21498800,0
20010201,14.20,14.48,13.98,14.19,31820400,0
20010202,14.98,15.52,14.96,15.27,40464000,0
20010205,15.25,15.64,15.16,15.60,9418800,0
20010206,15.71,15.74,15.23,15.23,8991600,0
20010207,15.48,16.09,15.47,15.47,9883200,0
20010208,15.49,15.50,15.14,15.23,8905200,0
20010209,14.85,14.96,14.56,14.64,9210800,0
20010212,14.84,15.12,14.51,14.78,10741600,0
20010213,15.16,15.16,14.63,14.65,5992400,0
20010214,14.98,15.02,14.23,14.25,6573600,0
20010215,14.51,14.51,14.06,14.06,10697600,0
20010216,14.06,14.45,14.06,14.23,7890800,0
20010219,14.23,14.23,14.23,14.23,0,0
20010220,14.57,14.60,13.81,14.15,22308400,0
20010221,14.38,14.40,13.98,14.12,7558400,0
20010222,14.23,14.24,13.50,13.77,204314000,0
20010223,13.77,13.77,13.24,13.58,7807600,0
20010226,13.82,14.25,13.68,14.05,7313600,0
20010227,14.32,14.65,14.18,14.35,7823600,0
20010228,14.50,14.87,14.49,14.81,7023200,0
20010301,15.00,15.10,14.38,14.75,47983200,0
20010302,14.84,15.25,14.73,15.20,5614800,0
20010305,15.20,15.20,14.70,15.00,83802800,0
20010306,15.05,15.16,14.82,15.13,6886000,0
20010307,15.13,15.25,15.04,15.13,6227200,0
20010308,15.11,15.49,15.10,15.38,5144000,0
20010309,15.46,15.49,15.19,15.25,5481600,0
20010312,15.05,15.15,14.77,14.91,4997200,0
20010313,14.94,14.99,14.53,14.73,9634800,0
20010314,14.63,14.88,14.47,14.52,18080000,0
20010315,14.51,14.70,14.41,14.48,34971600,0
20010316,14.46,14.47,13.91,13.95,10294800,0
20010319,14.04,14.30,13.81,14.19,7862400,0
20010320,14.18,14.53,14.09,14.19,5508400,0
20010321,13.94,14.08,13.55,13.57,12215200,0
20010322,13.63,13.68,12.64,13.18,17928000,0
20010323,13.37,13.81,13.24,13.63,8590000,0
20010326,13.69,14.34,13.69,14.23,4157200,0
20010327,14.09,14.19,14.04,14.09,9268400,0
20010328,14.06,14.37,13.97,14.02,10934400,0
20010329,14.18,14.50,14.18,14.45,6218400,0
20010330,14.63,14.93,14.54,14.81,11455200,0
20010402,14.78,15.00,14.56,14.63,7747200,0
20010403,14.75,14.95,14.50,14.56,9075600,0
20010404,14.57,15.12,14.48,14.96,8809200,0
20010405,15.22,15.25,14.96,15.00,14997600,0
20010406,15.00,15.05,14.56,14.73,56951200,0
20010409,14.88,14.99,14.79,14.94,6377200,0
20010410,14.38,14.94,14.20,14.79,38285200,0
20010411,14.63,14.80,14.32,14.45,47464400,0
20010412,14.45,14.82,14.44,14.61,5698000,0
20010416,14.80,14.98,14.40,14.56,6614000,0
20010417,14.52,15.02,14.49,14.76,7840800,0
20010418,14.76,15.17,14.75,15.17,12219600,0
20010419,15.18,15.25,15.00,15.10,6797600,0
20010420,15.05,15.14,14.94,15.05,6116000,0
20010423,15.14,15.50,14.90,14.94,7620800,0
20010424,15.01,15.23,15.00,15.19,4868400,0
20010425,15.19,15.85,15.06,15.75,28002800,0
20010426,15.90,16.31,15.76,16.22,10576400,0
20010427,16.63,16.81,16.15,16.31,15616400,0
20010430,16.38,16.60,16.19,16.37,7272000,0
20010501,16.14,16.58,16.14,16.54,6954400,0
20010502,16.25,16.25,15.80,15.80,19875600,0
20010503,15.80,16.25,15.37,15.40,18543200,0
20010504,15.23,15.35,14.95,15.29,14034800,0
20010507,15.25,15.28,15.06,15.18,6124800,0
20010508,15.15,15.15,14.64,14.78,10851200,0
20010509,14.71,15.09,14.64,14.78,14194800,0
20010510,14.80,14.86,14.31,14.35,16757200,0
20010511,14.65,14.74,14.34,14.61,6278800,0
20010514,14.76,14.93,14.63,14.79,14496000,0
20010515,14.79,15.05,14.70,14.82,6249600,0
20010516,14.60,15.31,14.60,15.19,5676800,0
20010517,14.82,14.83,14.38,14.59,20435200,0
20010518,14.40,14.56,14.01,14.18,14290400,0
20010521,13.99,14.26,13.75,13.87,14773200,0
20010522,13.88,13.91,13.38,13.57,22844400,0
20010523,13.13,13.40,13.13,13.26,27724400,0
20010524,13.27,13.87,13.23,13.82,33326400,0
20010525,13.52,13.80,13.52,13.60,10269200,0
20010528,13.60,13.60,13.60,13.60,0,0
20010529,13.79,13.80,13.27,13.45,9288800,0
20010530,13.51,13.97,13.46,13.81,13031200,0
20010531,14.13,14.48,13.96,14.38,14914800,0
20010601,14.31,14.31,13.97,14.18,15674000,0
20010604,14.18,14.31,13.99,14.19,6000400,0
20010605,14.19,14.37,14.06,14.28,7795200,0
20010606,14.31,14.72,14.20,14.60,9768800,0
20010607,14.60,14.75,14.26,14.44,8925200,0
20010608,14.43,14.65,14.36,14.56,4685200,0
20010611,14.55,14.55,14.06,14.18,7164800,0
20010612,14.18,14.30,13.88,14.20,35667600,0
20010613,14.32,14.49,14.21,14.40,13009600,0
20010614,14.50,14.68,14.38,14.55,8516000,0
20010615,14.34,14.41,14.20,14.28,8456400,0
20010618,14.30,14.65,14.26,14.59,12524000,0
20010619,14.84,14.84,14.38,14.51,10303600,0
20010620,14.53,14.90,14.40,14.70,5299600,0
20010621,14.82,15.29,14.82,15.14,6463200,0
20010622,14.93,15.39,14.90,15.29,6910800,0
20010625,15.43,15.62,15.40,15.57,7161600,0
20010626,15.35,15.54,15.35,15.44,71055600,0
20010627,15.40,15.87,15.40,15.73,6721600,0
20010628,15.65,15.80,15.53,15.64,47442800,0
20010629,15.64,15.73,15.34,15.44,41381600,0
20010702,15.49,15.73,15.33,15.61,6296400,0
20010703,15.61,15.73,15.51,15.57,5186000,0
20010704,15.57,15.57,15.57,15.57,0,0
20010705,15.25,15.54,15.25,15.48,8037600,0
20010706,15.48,15.52,15.38,15.48,7333600,0
20010709,15.65,15.95,15.56,15.88,18544000,0
20010710,15.73,15.88,15.63,15.73,70928400,0
20010711,15.75,15.99,15.70,15.87,3950000,0
20010712,15.77,16.29,15.64,16.27,6952400,0
20010713,16.25,16.50,16.22,16.44,22236800,0
20010716,16.43,16.43,15.95,16.21,10724800,0
20010717,16.27,16.50,16.15,16.50,6939600,0
20010718,16.50,16.73,16.40,16.59,4597200,0
20010719,16.73,16.85,16.56,16.66,40052000,0
20010720,16.58,16.77,16.28,16.45,4736000,0
20010723,16.63,16.81,16.36,16.44,26403600,0
20010724,16.38,16.50,16.09,16.25,18699200,0
20010725,16.00,16.24,15.83,16.11,5372000,0
20010726,16.11,16.40,16.06,16.25,2708400,0
20010727,16.38,16.56,15.93,16.25,127033200,0
20010730,16.58,16.94,16.51,16.64,16545600,0
20010731,16.72,16.98,16.59,16.89,4809200,0
20010801,16.88,16.88,16.16,16.25,60158400,0
20010802,16.45,16.52,15.77,15.99,60424400,0
20010803,16.19,16.19,15.75,16.07,7518400,0
20010806,16.00,16.06,15.83,15.88,2379600,0
20010807,15.98,16.12,15.90,16.08,3144400,0
20010808,16.09,16.22,15.86,15.92,3042800,0
20010809,15.84,16.08,15.69,15.93,3867600,0
20010810,15.89,16.18,15.88,16.09,2162400,0
20010813,16.22,16.43,16.15,16.32,3058800,0
20010814,16.34,16.46,16.22,16.38,1952800,0
20010815,16.33,16.49,16.32,16.35,3238400,0
20010816,16.35,16.65,16.30,16.60,3679200,0
20010817,16.45,16.68,16.28,16.41,11395600,0
20010820,16.41,16.62,16.30,16.52,13677200,0
20010821,16.58,16.81,16.57,16.68,10406000,0
