DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,22.66,23.38,22.50,23.38,69784,0
20010103,23.22,25.00,22.88,24.97,204564,0
20010104,24.91,25.84,24.69,25.75,219682,0
20010105,24.97,25.00,23.41,24.00,30559800,0
20010108,23.56,24.13,23.16,24.09,118592,0
20010109,24.00,24.34,23.31,23.50,114132,0
20010110,23.38,24.34,23.28,24.28,144994,0
20010111,24.34,24.78,24.06,24.72,163292,0
20010112,24.69,24.69,24.06,24.53,80714,0
20010115,24.53,24.53,24.53,24.53,0,0
20010116,24.13,25.63,23.88,25.47,209590,0
20010117,25.47,25.47,24.66,24.78,157498,0
20010118,24.75,24.75,24.13,24.47,116240,0
20010119,24.72,24.97,24.13,24.59,112056,0
20010122,24.59,24.59,24.59,24.59,0,0
20010123,24.72,25.34,24.69,25.19,84588,0
20010124,25.00,25.66,24.72,25.53,138420,0
20010125,25.56,26.19,25.25,25.75,277506,0
20010126,25.63,26.75,25.56,26.59,116628,0
20010129,27.16,28.05,26.50,27.08,13631800,0
20010130,27.31,28.97,27.00,28.23,14876200,0
20010131,27.63,27.97,26.91,26.91,15517000,0
20010201,26.95,27.44,26.05,26.64,15050600,0
20010202,26.80,27.48,26.71,26.80,9278000,0
20010205,26.80,27.12,26.45,26.68,18167400,0
20010206,26.00,26.00,25.23,25.48,13335200,0
20010207,25.48,25.52,24.63,24.75,15773800,0
20010208,25.00,25.00,24.28,24.38,11610400,0
20010209,24.55,24.92,24.38,24.75,10693600,0
20010212,24.88,25.16,24.88,25.03,8552800,0
20010213,25.27,25.75,25.07,25.12,9513400,0
20010214,25.13,25.57,25.12,25.40,8625800,0
20010215,25.25,25.92,25.17,25.44,10348600,0
20010216,25.57,25.96,25.34,25.70,8636600,0
20010219,25.70,25.70,25.70,25.70,0,0
20010220,25.55,25.61,24.44,24.56,23510200,0
20010221,24.50,24.92,23.63,23.88,13301000,0
20010222,23.63,24.13,22.88,24.02,14289000,0
20010223,23.90,24.98,23.52,24.57,26006000,0
20010226,24.57,25.75,24.00,25.49,12023400,0
20010227,25.49,26.16,24.97,25.72,12767600,0
20010228,25.62,25.65,24.38,25.35,12687200,0
20010301,24.42,24.85,23.77,24.67,13395200,0
20010302,24.25,25.23,24.20,24.52,11268400,0
20010305,24.52,24.85,24.22,24.54,8422600,0
20010306,25.10,25.48,24.83,25.13,8951800,0
20010307,25.21,26.38,25.05,26.33,13437200,0
20010308,26.38,26.92,26.38,26.86,13683400,0
20010309,26.60,26.63,26.09,26.25,8723200,0
20010312,26.00,26.32,25.58,25.81,14648400,0
20010313,26.35,27.13,26.10,27.13,16429000,0
20010314,26.10,26.40,25.45,25.88,25384200,0
20010315,26.05,26.42,25.95,26.11,12908800,0
20010316,26.00,26.49,25.60,25.70,17827200,0
20010319,25.58,26.70,25.43,26.49,9873000,0
20010320,26.94,27.15,25.55,25.64,17209200,0
20010321,25.90,26.50,25.25,25.48,16532200,0
20010322,25.30,25.45,23.98,24.83,19830000,0
20010323,25.05,26.39,24.98,26.39,15770600,0
20010326,26.58,26.85,25.79,25.99,25389600,0
20010327,25.88,27.34,25.59,27.24,19103400,0
20010328,26.89,27.30,26.58,27.21,12955800,0
20010329,26.83,27.05,26.38,26.58,9320200,0
20010330,26.73,27.38,26.60,27.38,12476400,0
20010402,27.08,27.62,26.65,27.00,16129800,0
20010403,26.95,26.95,25.81,26.13,18932200,0
20010404,25.92,26.09,25.02,25.16,18252400,0
20010405,25.80,26.27,25.70,25.92,11455000,0
20010406,25.81,26.25,24.33,24.80,26041000,0
20010409,25.17,25.77,25.02,25.30,9428600,0
20010410,25.80,26.60,25.80,25.89,12554600,0
20010411,26.90,27.09,26.14,26.23,10801000,0
20010412,26.25,26.73,26.17,26.48,6023400,0
20010416,26.52,27.13,26.10,26.23,14977400,0
20010417,26.29,26.44,25.92,26.00,11536800,0
20010418,26.08,27.75,26.02,27.59,23140200,0
20010419,27.45,28.67,27.40,28.20,18541600,0
20010420,28.19,28.19,27.50,27.50,13716000,0
20010423,27.52,27.67,27.20,27.46,10441400,0
20010424,27.60,27.81,27.23,27.25,8009000,0
20010425,27.11,27.52,26.88,27.45,7627600,0
20010426,27.52,27.78,27.21,27.56,8877400,0
20010427,27.87,28.50,27.72,28.46,14218600,0
20010430,28.55,28.70,27.75,28.00,9982200,0
20010501,27.88,28.25,27.58,28.23,14208600,0
20010502,28.23,28.40,27.93,28.06,8963400,0
20010503,28.00,28.08,27.59,27.98,9307200,0
20010504,27.83,28.37,27.59,28.19,40091200,0
20010507,28.10,28.11,27.81,28.11,5633400,0
20010508,28.16,28.17,27.78,27.85,5066600,0
