DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,29838.7500,30450.0000,29681.2500,30210.0000,2649,19900,0,0,0.0000
19900103,30393.7500,30843.7500,30300.0000,30656.2500,5409,19988,0,0,0.0000
19900104,30656.2500,30975.0000,30656.2500,30930.0000,4649,20164,0,0,0.0000
19900105,31012.5000,31387.5000,30000.0000,30435.0000,9624,20228,0,0,0.0000
19900108,30487.5000,30712.5000,30300.0000,30517.5000,3373,20040,0,0,0.0000
19900109,30150.0000,31125.0000,30150.0000,31065.0000,7031,20672,0,0,0.0000
19900110,31050.0000,31312.5000,30562.5000,30963.7500,9250,20058,0,0,0.0000
19900111,30562.5000,30731.2500,30281.2500,30600.0000,8459,20245,0,0,0.0000
19900112,30187.5000,30375.0000,29512.5000,29640.0000,8668,19086,0,0,0.0000
19900115,29418.7500,29925.0000,29062.5000,29085.0000,9465,18065,0,0,0.0000
19900116,29156.2500,29343.7500,28725.0000,29081.2500,7648,17440,0,0,0.0000
19900117,29287.5000,29775.0000,29100.0000,29535.0000,5168,16373,0,0,0.0000
19900118,29531.2500,29793.7500,29362.5000,29763.7500,4908,15980,0,0,0.0000
19900119,29775.0000,30543.7500,29718.7500,30491.2500,7430,16238,0,0,0.0000
19900122,30412.5000,30750.0000,30281.2500,30558.7500,5207,15334,0,0,0.0000
19900123,30468.7500,30562.5000,30000.0000,30022.5000,4900,15418,0,0,0.0000
19900124,29887.5000,30506.2500,29831.2500,30198.7500,4785,15102,0,0,0.0000
19900125,30712.5000,30768.7500,30225.0000,30491.2500,3843,15214,0,0,0.0000
19900126,30468.7500,30731.2500,30300.0000,30720.0000,4342,14698,0,0,0.0000
19900129,30693.7500,30825.0000,30262.5000,30300.0000,5327,14221,0,0,0.0000
19900130,30000.0000,30281.2500,29962.5000,30138.7500,3951,14362,0,0,0.0000
19900131,29906.2500,30375.0000,29906.2500,29996.2500,4137,14011,0,0,0.0000
19900201,29925.0000,30281.2500,29925.0000,30240.0000,3610,14067,0,0,0.0000
19900202,30525.0000,30600.0000,30075.0000,30142.5000,5851,14200,0,0,0.0000
19900205,29981.2500,30281.2500,29850.0000,30015.0000,5028,13520,0,0,0.0000
19900206,29906.2500,30075.0000,29868.7500,30015.0000,5624,12933,0,0,0.0000
19900207,30093.7500,30675.0000,30018.7500,30622.5000,7882,12754,0,0,0.0000
19900208,30656.2500,30937.5000,30562.5000,30783.7500,9120,12393,199005,199005,0.0000
19900209,31575.0000,32700.0000,31293.7500,32531.2500,16595,13291,0,0,637.5000
19900212,32475.0000,33656.2500,32475.0000,33018.7500,13803,14817,0,0,0.0000
19900213,33112.5000,33525.0000,32662.5000,33105.0000,12316,15810,0,0,0.0000
19900214,33750.0000,34275.0000,32812.5000,33041.2500,15724,18759,0,0,0.0000
19900215,33300.0000,33562.5000,32531.2500,32745.0000,10922,18375,0,0,0.0000
