DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,104.40,105.90,94.98,97.17,5724167,0
20010103,96.00,114.00,96.00,112.50,11631167,0
20010104,117.00,129.75,115.62,126.54,9159433,0
20010105,126.00,126.00,119.70,123.87,5271733,0
20010108,122.10,123.45,115.50,120.09,4109200,0
20010109,125.25,129.63,123.15,128.55,4576167,0
20010110,127.80,135.75,127.68,134.67,5872633,0
20010111,131.70,144.00,131.70,141.75,6667400,0
20010112,144.84,146.25,114.90,139.41,10975400,0
20010115,139.41,139.41,139.41,139.41,0,0
20010116,139.41,144.30,137.16,140.10,5035733,0
20010117,144.00,147.72,143.40,146.37,7313900,0
20010118,146.58,149.73,144.00,149.28,5199600,0
20010119,153.03,164.28,153.00,161.40,14327167,0
20010122,161.40,161.40,161.40,161.40,0,0
20010123,161.07,163.35,158.76,162.45,8225800,0
20010124,162.75,171.30,162.45,167.10,10359833,0
20010125,167.25,170.73,165.63,167.31,6488833,0
20010126,163.02,164.10,159.75,163.77,6127033,0
20010129,174.09,174.28,163.50,165.00,7163900,0
20010130,170.44,170.44,161.34,165.00,7434267,0
20010131,163.59,170.67,156.60,157.68,9816033,0
20010201,153.75,154.50,146.79,149.04,10665500,0
20010202,148.20,149.79,141.00,143.37,7874833,0
20010205,143.85,149.70,140.70,148.11,5006633,0
20010206,147.78,150.75,145.71,146.55,4546233,0
20010207,144.75,148.50,144.06,144.60,3766533,0
20010208,146.25,150.03,144.75,146.28,4092300,0
20010209,144.45,145.44,139.80,141.75,4430467,0
20010212,141.75,143.40,139.50,142.59,3386533,0
20010213,143.25,147.12,143.07,144.27,3793100,0
20010214,141.90,146.70,138.15,145.89,4307733,0
20010215,149.76,150.75,147.90,149.52,5971033,0
20010216,145.50,148.20,142.53,145.08,3815433,0
20010219,145.08,145.08,145.08,145.08,0,0
20010220,144.30,145.80,132.39,134.13,5264767,0
20010221,131.40,142.50,130.95,133.20,6544700,0
20010222,133.26,137.25,124.53,134.70,6810333,0
20010223,129.75,132.30,124.74,129.90,7779500,0
20010226,130.50,139.80,127.50,138.36,4984333,0
20010227,137.97,140.55,131.31,134.10,4951500,0
20010228,135.00,136.50,126.78,132.09,5510400,0
20010301,127.65,132.60,124.05,132.15,5328267,0
20010302,125.70,131.04,124.29,126.15,4954300,0
20010305,128.55,131.70,128.13,131.40,4456267,0
20010306,135.30,142.80,134.25,139.62,6873500,0
20010307,140.40,141.30,124.83,135.90,4631433,0
20010308,133.80,139.62,132.75,133.50,6892600,0
20010309,132.00,132.27,127.17,128.61,4995467,0
20010312,124.80,124.95,115.20,117.81,10225433,0
20010313,119.13,123.30,117.81,122.10,6719400,0
20010314,117.33,123.15,117.33,120.12,6012500,0
20010315,124.20,178.23,119.25,121.65,4819533,0
20010316,119.25,175.50,117.60,118.08,6514233,0
20010319,118.35,121.53,116.10,120.00,4560633,0
20010320,121.50,124.80,115.80,116.37,7320367,0
20010321,117.00,118.35,112.95,113.52,6318833,0
20010322,114.30,114.30,105.39,110.31,8450733,0
20010323,113.43,119.85,112.80,118.62,5510267,0
20010326,120.00,124.50,120.00,122.85,4327167,0
20010327,122.88,129.90,121.05,129.00,5857467,0
20010328,126.18,126.75,121.98,122.28,5415133,0
20010329,121.80,122.70,118.20,122.25,4820467,0
20010330,122.28,122.28,115.50,120.45,4461800,0
20010402,118.62,119.10,110.25,111.51,6850400,0
20010403,110.25,110.25,100.38,101.70,9834100,0
20010404,101.85,107.85,101.70,105.45,7807367,0
20010405,111.00,120.00,110.10,119.10,7306733,0
